stem,snr_db,preamble_len,trend_source_arg,preselect_mode,phase_bonus_weight,phase_gate_width_pi,phase_evidence,symbol_count,packet_count,per_symbol_csv,summary_json,center_mean_rank,multi_offset_mean_rank,phase_gated_mean_rank,mean_phase_trend_quality,mean_early_anchor_count,trend_sources,center_recall@1,multi_offset_recall@1,phase_gated_recall@1,gain_vs_center@1,gain_vs_multi_offset@1,phase_rescue_count@1,phase_damage_count@1,net_rescue@1,center_recall@2,multi_offset_recall@2,phase_gated_recall@2,gain_vs_center@2,gain_vs_multi_offset@2,phase_rescue_count@2,phase_damage_count@2,net_rescue@2,rescue_r1_top2_recall,center_recall@4,multi_offset_recall@4,phase_gated_recall@4,gain_vs_center@4,gain_vs_multi_offset@4,phase_rescue_count@4,phase_damage_count@4,net_rescue@4,rescue_r1_top4_recall,rescue_r2_top4_recall,center_recall@8,multi_offset_recall@8,phase_gated_recall@8,gain_vs_center@8,gain_vs_multi_offset@8,phase_rescue_count@8,phase_damage_count@8,net_rescue@8,rescue_r1_top8_recall,rescue_r2_top8_recall,rescue_r4_top8_recall,center_recall@16,multi_offset_recall@16,phase_gated_recall@16,gain_vs_center@16,gain_vs_multi_offset@16,phase_rescue_count@16,phase_damage_count@16,net_rescue@16,rescue_r1_top16_recall,rescue_r2_top16_recall,rescue_r4_top16_recall,center_recall@32,multi_offset_recall@32,phase_gated_recall@32,gain_vs_center@32,gain_vs_multi_offset@32,phase_rescue_count@32,phase_damage_count@32,net_rescue@32,rescue_r1_top32_recall,rescue_r2_top32_recall,rescue_r4_top32_recall,center_recall@64,multi_offset_recall@64,phase_gated_recall@64,gain_vs_center@64,gain_vs_multi_offset@64,phase_rescue_count@64,phase_damage_count@64,net_rescue@64,rescue_r1_top64_recall,rescue_r2_top64_recall,rescue_r4_top64_recall
0_0_0_10_14_16,20,16,early-payload,default,0.02,0.166667,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
0_0_0_10_14_16,20,16,early-payload,default,0.02,0.25,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
0_0_0_10_14_16,20,16,early-payload,default,0.02,0.333333,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
0_0_0_10_14_16,20,16,early-payload,default,0.02,0.5,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
0_0_0_10_14_16,20,16,early-payload,default,0.05,0.166667,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
0_0_0_10_14_16,20,16,early-payload,default,0.05,0.25,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
0_0_0_10_14_16,20,16,early-payload,default,0.05,0.333333,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
0_0_0_10_14_16,20,16,early-payload,default,0.05,0.5,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
0_0_0_10_14_16,20,16,early-payload,default,0.1,0.166667,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
0_0_0_10_14_16,20,16,early-payload,default,0.1,0.25,multi-offset,385,11,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default.csv,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\candidate_pruning\sweeps\validation_20260616_available_matrix\0_0_0_10_14_16_snr_m20dB_early-payload_default_summary.json,13.571428571428571,1.025974025974026,1.0285714285714285,0.5962946583165607,8.0,early-payload,0.6415584415584416,0.9844155844155844,0.9818181818181818,0.34025974025974026,-0.0025974025974025983,0,1,-1,0.7168831168831169,0.9922077922077922,0.9922077922077922,0.2753246753246753,0.0,0,0,0,0.9922077922077922,0.7766233766233767,1.0,1.0,0.22337662337662334,0.0,0,0,0,1.0,1.0,0.8389610389610389,1.0,1.0,0.1610389610389611,0.0,0,0,0,1.0,1.0,1.0,0.8883116883116883,1.0,1.0,0.11168831168831173,0.0,0,0,0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0.07272727272727275,0.0,0,0,0,1.0,1.0,1.0,0.9636363636363636,1.0,1.0,0.036363636363636376,0.0,0,0,0,1.0,1.0,1.0
